soal,version-soal,opsi-1,opsi-2,opsi-3,opsi-4,opsi-5,opsi-benar,total-benar,total-salah,total-muncul,current-total-benar,current-total-muncul,prob-benar,current-prob,level-soal,current-level
"Bagian dari bidang biologi yang membutuhkan penggunaan mikroskop, sebagai contoh",001v001,Atom dan molekul,"Organel, sel dan jaringan",Bioma dan biosfer,Membran sel,Organ dan sistem organ,2,3,3,6,0,9,0.5,0.2,2,3
"Dalam studi biologi, penggunaan mikroskop diperlukan untuk mempelajari hal seperti",001v002,Atom dan molekul,"Organel, sel dan jaringan",Bioma dan biosfer,Membran sel,Organ dan sistem organ,2,0,0,0,8,11,0,0.73,2,1
"Ilmu biologi yang membutuhkan penggunaan mikroskop untuk mengkaji, sebagai contoh",001v003,Atom dan molekul,"Organel, sel dan jaringan",Bioma dan biosfer,Membran sel,Organ dan sistem organ,2,0,0,0,2,15,0,0.13,2,3
Cabang biologi yang mendorong peneliti untuk menghasilkan bibit unggul melalui hibridisasi (persilangan) ,002v001,Sitologi,Histologi,Taksonomi,Genetika,Botani,4,6,6,12,9,11,0.5,0.65,2,2
Cabang ilmu biologi yang menjadi dasar bagi peneliti dalam mengembangkan bibit unggul melalui teknik persilangan,002v002,Sitologi,Histologi,Taksonomi,Genetika,Botani,4,0,0,0,4,6,0,0.67,2,2
Bidang biologi yang mendasari upaya para peneliti dalam meningkatkan produksi pangan melalui pengembangan bibit unggul menggunakan hibridisasi,002v003,Sitologi,Histologi,Taksonomi,Genetika,Botani,4,0,0,0,11,13,0,0.85,2,1
Hal yang dipelajari dalam biologi untuk mengembangkan obat untuk flu burung (SARS) adalah,004v001,Bakteri,Virus,Sanitasi,Parasit,Epidemiologi,2,3,3,6,5,9,0.5,0.53,2,2
Komponen studi biologi yang diperlukan dalam pengembangan obat untuk flu burung (SARS) adalah,004v002,Bakteri,Virus,Sanitasi,Parasit,Epidemiologi,2,0,0,0,3,12,0,0.25,2,3
Aspek biologi yang penting dalam upaya mengembangkan obat untuk flu burung (SARS) adalah,004v003,Bakteri,Virus,Sanitasi,Parasit,Epidemiologi,2,0,0,0,4,9,0,0.44,2,2
"Ada sejumlah kelompok belalang, semut, dan rumput sehingga terbentuk",005v001,Ekosistem,Komunitas,Bioma,Biosfer,Lingkungan,2,4,7,11,2,7,0.36,0.33,2,2
"Terdapat kumpulan kelompok belalang, semut, dan rumput yang akan membentuk",005v002,Ekosistem,Komunitas,Bioma,Biosfer,Lingkungan,2,0,0,0,5,6,0,0.83,2,1
"Di suatu tempat terdapat kumpulan kelompok belalang,kelompok semut dan kelompok rumput. Kumpulan kelompok tersebut akan membentuk",005v003,Ekosistem,Komunitas,Bioma,Biosfer,Lingkungan,2,0,0,0,3,7,0,0.43,2,2
Pilihlah yang tidak termasuk dalam persiapan sebelum melakukan penelitian ilmiah,006v001,Alat dan bahan,Metode penelitian,Laporan penelitian,Objek penelitian,Variabel data yang akan diukur,3,2,4,6,3,8,0.33,0.36,2,2
Pilihlah mana yang bukan termasuk  hal yang disiapkan sebelum melakukan penelitian ilmiah,006v002,Alat dan bahan,Metode penelitian,Laporan penelitian,Objek penelitian,Variabel data yang akan diukur,3,0,0,0,4,6,0,0.67,2,2
Mana yang tidak menjadi bagian dari persiapan sebelum melakukan penelitian ilmiah,006v003,Alat dan bahan,Metode penelitian,Laporan penelitian,Objek penelitian,Variabel data yang akan diukur,3,0,0,0,1,6,0,0.17,2,3
"Di antara yang berikut ini, kegiatan manakah bukan termasuk dalam pengamatan",008v001,Melihat,Mendengar,Mengukur,Membau,Meramalkan,5,2,2,4,8,9,0.5,0.77,2,1
Mana di antara berikut yang bukan merupakan kegiatan pengamatan,008v002,Melihat,Mendengar,Mengukur,Membau,Meramalkan,5,0,0,0,7,11,0,0.64,2,2
Berikut ini yang bukan merupakan kegiatan observasi adalah,008v003,Melihat,Mendengar,Mengukur,Membau,Meramalkan,5,0,0,0,4,8,0,0.5,2,2
"Pada penulisan makalah, terdapat bagian yang membahas pengolahan data yang disebut sebagai",009v001,Abstrak,Pembahasan,Kerangka teori,Prakata,Metodologi penelitia,2,3,2,5,4,8,0.6,0.54,2,2
"Pada penulisan makalah terdapat bab yang membahas pengolahan data, yaitu bagian",009v002,Abstrak,Pembahasan,Kerangka teori,Prakata,Metodologi penelitia,2,0,0,0,4,7,0,0.57,2,2
"Saat Anda menulis makalah, bagian yang membahas pengolahan data disebut",009v003,Abstrak,Pembahasan,Kerangka teori,Prakata,Metodologi penelitia,2,0,0,0,6,8,0,0.75,2,1
"Sampai saat ini, tidak ada obat untuk penyakit AIDS. Para ahli melakukan penelitian untuk memahami aktivitas Virus HIV di tingkat organisasi kehidupan, yaitu",010v001,Molekul,Sel,Jaringan,Organ,Sistem organ,2,2,4,6,2,10,0.33,0.25,2,3
"Saat ini, belum ada obat yang efektif untuk AIDS. Ahli sedang melakukan penelitian untuk memahami aktivitas Virus HIV pada tingkat kehidupan, yakni",010v002,Molekul,Sel,Jaringan,Organ,Sistem organ,2,0,0,0,1,4,0,0.25,2,3
"Sampai sekarang, belum ada obat yang tersedia untuk AIDS. Penelitian sedang dilakukan oleh para ahli untuk memahami aktivitas Virus HIV di tingkat organisasi kehidupan, yaitu",010v003,Molekul,Sel,Jaringan,Organ,Sistem organ,2,0,0,0,4,7,0,0.57,2,2
Dinding sel bakteri terbuat dari campuran polisakarida dan protein. Campuran ini disebut dengan,011v001,Hemiselulosa,Kitin,Selulosa,Pektin,Peptidoglikan,5,1,1,2,9,11,0.5,0.77,2,1
Dinding sel bakteri terbentuk dari kombinasi polisakarida dan protein. Kombinasi ini dikenal sebagai,011v002,Hemiselulosa,Kitin,Selulosa,Pektin,Peptidoglikan,5,0,0,0,6,9,0,0.67,2,2
Dinding sel bakteri terdiri dari polisakarida dan protein yang bergabung. Gabungan ini disebut,011v003,Hemiselulosa,Kitin,Selulosa,Pektin,Peptidoglikan,5,0,0,0,3,9,0,0.33,2,2
Film Hollywood terkenal Jurassic Park bercerita tentang kehidupan hewan purba. Ilmu biologi yang digunakan adalah,012v001,Evolusi,Botani,Zoology,Palaentologi,Anatomi,4,3,4,7,7,12,0.43,0.53,2,2
Pembuatan film Jurassic Park yang terkenal di Hollywood menceritakan tentang hewan-hewan purba. Ilmu biologi yang terlibat adalah,012v002,Evolusi,Botani,Zoology,Palaentologi,Anatomi,4,0,0,0,2,12,0,0.17,2,3
"Jurassic Park, film Hollywood terkenal, mengisahkan kehidupan hewan purba. Ilmu biologi yang berperan adalah",012v003,Evolusi,Botani,Zoology,Palaentologi,Anatomi,4,0,0,0,4,8,0,0.5,2,2
Manfaat biologi di bidang peternakan adalah,014v001,Memperbanyak dengan teknik kultur jaringan,Membuat antibody monocional,Membuat vaksin pencegah penyakit virus SARS,Terapi gen transgenic menghasilkan susu sapi lebih berkualitas,Menghasilkan insulin,4,4,5,9,3,9,0.44,0.39,2,2
Berikut manfaat biologi di bidang peternakan adalah,014v002,Memperbanyak dengan teknik kultur jaringan,Membuat antibody monocional,Membuat vaksin pencegah penyakit virus SARS,Terapi gen transgenic menghasilkan susu sapi lebih berkualitas,Menghasilkan insulin,4,0,0,0,1,15,0,0.07,2,3
Biologi memberikan manfaat berikut dalam peternakan,014v003,Memperbanyak dengan teknik kultur jaringan,Membuat antibody monocional,Membuat vaksin pencegah penyakit virus SARS,Terapi gen transgenic menghasilkan susu sapi lebih berkualitas,Menghasilkan insulin,4,0,0,0,5,6,0,0.83,2,1
Peneliti mengamati perilaku harimau Sumatera. Pengamatan ini dilakukan pada tingkat,015v001,Ekosistem,Komunitas,Populasi,Individu,Bioma,3,6,6,12,3,11,0.5,0.39,2,2
Sekelompok peneliti melakukan pengamatan terhadap perilaku sekumpulan harimau Sumatera (Panthera tigris sumatrae). Pengamatan yang dilakukan oleh sekelompok ini dilakukan pada tingkat,015v002,Ekosistem,Komunitas,Populasi,Individu,Bioma,3,0,0,0,8,12,0,0.67,2,2
Peneliti mempelajari perilaku harimau Sumatera. Studi ini dilakukan pada tingkat,015v003,Ekosistem,Komunitas,Populasi,Individu,Bioma,3,0,0,0,2,3,0,0.67,2,2
Tumbuhan yang termasuk dalam tingkatan satu gen adalah,018v001,"Mangga manalagi, mangga geding, dan mangga harum manis","Jambu, manga, dan papaya","Kelapa sawit, kelapa gading, dan aren","Aren, jambu dan kelapa sawit","Bawang merah, bawang putih dan bawang daun",1,4,3,7,4,7,0.57,0.57,2,2
Kelompok tumbuhan yang merupakan tingkatan satu gen adalah,018v002,"Mangga manalagi, mangga geding, dan mangga harum manis","Jambu, manga, dan papaya","Kelapa sawit, kelapa gading, dan aren","Aren, jambu dan kelapa sawit","Bawang merah, bawang putih dan bawang daun",1,0,0,0,5,7,0,0.71,2,1
Kelompok tumbuhan di tingkatan satu gen adalah,018v003,"Mangga manalagi, mangga geding, dan mangga harum manis","Jambu, manga, dan papaya","Kelapa sawit, kelapa gading, dan aren","Aren, jambu dan kelapa sawit","Bawang merah, bawang putih dan bawang daun",1,0,0,0,4,8,0,0.5,2,2
Beberapa bakteri hidup bebas di lingkungan dan bisa membuat makanannya sendiri. Sifat hidup seperti ini disebut,022v001,Autotrof,Heterotrof,Aerob,Anaerob,Aerob Fakultatif,1,6,5,11,4,6,0.55,0.59,2,2
Bakteri tertentu dapat hidup bebas di lingkungan dan membuat makanannya sendiri. Sifat hidup seperti ini disebut,022v002,Autotrof,Heterotrof,Aerob,Anaerob,Aerob Fakultatif,1,0,0,0,3,5,0,0.6,2,2
Sebagian bakteri hidup bebas di lingkungan dan dapat menyintesis makanannya sendiri. Sifat hidup seperti ini disebut,022v003,Autotrof,Heterotrof,Aerob,Anaerob,Aerob Fakultatif,1,0,0,0,6,7,0,0.86,2,1
Bakteri ini membantu dalam pertanian dengan hidup bersama akar tumbuhan kacang-kacangan. Bakteri ini adalah,028v001,Rhizobium leguminosarum,Nitrosomonas,Lactobacillus bulgaricus,Candidatus liberibacter asiaticus,Bacterium papaya,1,3,6,9,2,5,0.33,0.36,2,2
Bakteri ini berkolaborasi dengan akar tumbuhan kacang-kacangan untuk meningkatkan hasil pertanian. Bakteri ini disebut,028v002,Rhizobium leguminosarum,Nitrosomonas,Lactobacillus bulgaricus,Candidatus liberibacter asiaticus,Bacterium papaya,1,0,0,0,1,2,0,0.5,2,2
Bakteri ini bekerja sama dengan akar tumbuhan kacang-kacangan untuk memperbaiki hasil pertanian. Bakteri ini adalah,028v003,Rhizobium leguminosarum,Nitrosomonas,Lactobacillus bulgaricus,Candidatus liberibacter asiaticus,Bacterium papaya,1,0,0,0,2,7,0,0.29,2,3
Hewan-hewan yang termasuk dalam fauna tipe Australis adalah,030v001,"Anoa, komodo, kuskus","Gajah, badak bercula satu, burung merak","Kangguru, cendrawasih, burung kasuari","Anoa, gajah, badak jawa","Komodo, babi, rusa, beruang",3,8,5,13,10,14,0.62,0.67,2,2
Contoh hewan yang merupakan bagian dari fauna tipe Australis adalah,030v002,"Anoa, komodo, kuskus","Gajah, badak bercula satu, burung merak","Kangguru, cendrawasih, burung kasuari","Anoa, gajah, badak jawa","Komodo, babi, rusa, beruang",3,0,0,0,9,15,0,0.6,2,2
Fauna tipe Australis mencakup hewan-hewan seperti,030v003,"Anoa, komodo, kuskus","Gajah, badak bercula satu, burung merak","Kangguru, cendrawasih, burung kasuari","Anoa, gajah, badak jawa","Komodo, babi, rusa, beruang",3,0,0,0,1,1,0,1,2,1
Garis yang membatasi jenis hewan di Indonesia bagian timur dari bagian tengah adalah,031v001,Garis Weber,Garis Khatulistiwa,Garis Wallace,Garis bujur,Garis lintang,1,5,7,12,5,11,0.42,0.43,2,2
Garis yang memisahkan jenis hewan di timur dan tengah Indonesia adalah,031v002,Garis Weber,Garis Khatulistiwa,Garis Wallace,Garis bujur,Garis lintang,1,0,0,0,6,9,0,0.67,2,2
Garis pemisah antara fauna (hewan) di Indonesia bagian timur dan bagian tengah adalah,031v003,Garis Weber,Garis Khatulistiwa,Garis Wallace,Garis bujur,Garis lintang,1,0,0,0,3,5,0,0.6,2,2
Tanaman yang khas di Indonesia bagian Timur termasuk,032v001,"Bunga bangkai, matoa, sagu","Sagu, matoa, pala","Bunga Padma, kayu jati, sagu","Bunga bangkai, bungai padma, bunga paying","Sagu, matoa, kayu jati",2,3,6,9,2,5,0.33,0.36,2,2
Flora yang khas di wilayah Timur Indonesia meliputi,032v002,"Bunga bangkai, matoa, sagu","Sagu, matoa, pala","Bunga Padma, kayu jati, sagu","Bunga bangkai, bungai padma, bunga paying","Sagu, matoa, kayu jati",2,0,0,0,1,4,0,0.25,2,3
Tanaman-tanaman yang khas di bagian Timur Indonesia adalah,032v003,"Bunga bangkai, matoa, sagu","Sagu, matoa, pala","Bunga Padma, kayu jati, sagu","Bunga bangkai, bungai padma, bunga paying","Sagu, matoa, kayu jati",2,0,0,0,2,9,0,0.22,2,3
Pilihlah aktivitas manusia yang tidak bisa menyebabkan punahnya hewan atau tumbuhan,033v001,Membangun tempat tinggal baru dalam hutan,Memburu hewan langka,Membuat cagar alam,Perluasan lahan pertanian,Pertambangan,3,3,4,7,4,5,0.43,0.58,2,2
Mana di antara aktivitas manusia berikut yang tidak dapat menyebabkan punahnya hewan atau tumbuhan,033v002,Membangun tempat tinggal baru dalam hutan,Memburu hewan langka,Membuat cagar alam,Perluasan lahan pertanian,Pertambangan,3,0,0,0,4,7,0,0.57,2,2
Pilihlah aktivitas manusia yang tidak berpotensi menyebabkan punahnya hewan atau tumbuhan,033v003,Membangun tempat tinggal baru dalam hutan,Memburu hewan langka,Membuat cagar alam,Perluasan lahan pertanian,Pertambangan,3,0,0,0,5,10,0,0.5,2,2
Salah satu cara untuk menjaga keanekaragaman hayati adalah,034v001,Penanaman secara monokultur,Membuang limbah rumah tangga ke sungai,Perburuan hewan,Menangkap ikan menggunakan peledak,Pelestarian hewan secara in situ dan ex situ,5,6,6,12,1,5,0.5,0.41,2,2
Cara untuk menjaga keanekaragaman hayati adalah,034v002,Penanaman secara monokultur,Membuang limbah rumah tangga ke sungai,Perburuan hewan,Menangkap ikan menggunakan peledak,Pelestarian hewan secara in situ dan ex situ,5,0,0,0,9,10,0,0.9,2,1
Upaya untuk mempertahankan keanekaragaman hayati adalah,034v003,Penanaman secara monokultur,Membuang limbah rumah tangga ke sungai,Perburuan hewan,Menangkap ikan menggunakan peledak,Pelestarian hewan secara in situ dan ex situ,5,0,0,0,2,5,0,0.4,2,2
Hal-hal yang membentuk keanekaragaman sifat manusia adalah,035v001,Gen,Kromosom,Gen dan lingkungan,Perilaku,Variasi gen dan perilaku,3,5,5,10,2,7,0.5,0.41,2,2
Faktor-faktor yang membentuk perbedaan sifat termasuk,036v002,Gen,Kromosom,Gen dan lingkungan,Perilaku,Variasi gen dan perilaku,3,0,0,0,3,8,0,0.38,2,2
Apa saja yang membentuk keanekaragaman adalah,036v003,Gen,Kromosom,Gen dan lingkungan,Perilaku,Variasi gen dan perilaku,3,0,0,0,6,8,0,0.75,2,1
Dua individu dalam satu jenis memiliki faktor genetik yang sama tetapi memiliki ciri-ciri fisik yang berbeda. Hal ini bisa disebabkan oleh,037v001,Lingkungan,Makanan,Sumber makanan,Keturunan,Reproduksi,1,2,4,6,1,10,0.33,0.19,2,3
Faktor genetik yang sama pada dua individu dari satu jenis namun dengan fenotip yang berbeda bisa disebabkan oleh,037v002,Lingkungan,Makanan,Sumber makanan,Keturunan,Reproduksi,1,0,0,0,4,5,0,0.8,2,1
Alasan dua individu dari satu jenis memiliki genetika yang serupa tetapi fenotip yang berbeda bisa karena,037v003,Lingkungan,Makanan,Sumber makanan,Keturunan,Reproduksi,1,0,0,0,4,7,0,0.57,2,2
Contoh tingkat keanekaragaman jenis adalah,038v001,"Kelapa hijau, kelapa hybrid, kelapa gading","Kelapa, jeruk, manga","Salak pondoh, salak bali, salak condet","Mangga harum manis, mangga gedong, mangga golek","Jeruk bali, jeruk nipis, jeruk medan",2,4,2,6,6,7,0.67,0.77,2,1
Kelompok yang merupakan tingkatan keanekaragaman jenis adalah,038v002,"Kelapa hijau, kelapa hybrid, kelapa gading","Kelapa, jeruk, manga","Salak pondoh, salak bali, salak condet","Mangga harum manis, mangga gedong, mangga golek","Jeruk bali, jeruk nipis, jeruk medan",2,0,0,0,5,8,0,0.63,2,2
Contoh keanekaragaman jenis adalah,038v003,"Kelapa hijau, kelapa hybrid, kelapa gading","Kelapa, jeruk, manga","Salak pondoh, salak bali, salak condet","Mangga harum manis, mangga gedong, mangga golek","Jeruk bali, jeruk nipis, jeruk medan",2,0,0,0,6,8,0,0.75,2,1
"Ekosistem di darat dengan curah hujan sedikit, penguapan tinggi, tanaman berdaun kecil dan jarum, serta hewan reptil, disebut sebagai",039v001,Hutan,Gunung,Gurun,Savana,Tundra,3,3,5,8,0,3,0.38,0.27,2,3
"Bioma yang terdapat di darat dengan sedikit hujan, banyak penguapan, tanaman kecil berdaun jarum, dan hewan seperti reptil, dikenal sebagai",039v002,Hutan,Gunung,Gurun,Savana,Tundra,3,0,0,0,5,8,0,0.63,2,2
"Di darat, ekosistem dengan sedikit hujan, banyak penguapan, tanaman kecil berdaun jarum, dan reptil adalah contoh dari",039v003,Hutan,Gunung,Gurun,Savana,Tundra,3,0,0,0,4,8,0,0.5,2,2
Tanaman Melanesia yang sering ditemukan di wilayah Indonesia Timur adalah,044v001,Matoa,Meranti,Salak,Durian,Sukun,1,2,4,6,7,11,0.33,0.53,2,2
Flora Melanesia yang banyak ada di bagian timur Indonesia adalah,044v002,Matoa,Meranti,Salak,Durian,Sukun,1,0,0,0,2,3,0,0.67,2,2
Tanaman-tanaman Melanesia yang tersebar luas di wilayah Indonesia Timur adalah,044v003,Matoa,Meranti,Salak,Durian,Sukun,1,0,0,0,4,10,0,0.4,2,2
Hewan-hewan khas Indonesia contohnya,045v001,Beruang madu,Harimau,Burung cendrawasih,Tarsius,Komodo,5,4,4,8,4,6,0.5,0.57,2,2
Fauna unik yang hidup secara alami di Indonesia seperti,045v002,Beruang madu,Harimau,Burung cendrawasih,Tarsius,Komodo,5,0,0,0,2,5,0,0.4,2,2
Hewan endemik yang ada di Indonesia,045v003,Beruang madu,Harimau,Burung cendrawasih,Tarsius,Komodo,5,0,0,0,3,7,0,0.43,2,2
Sistem klasifikasi yang memperhitungkan hubungan kekerabatan adalah,047v001,Alami,Artifisial,Fisiologi,Morfologi,Filogenik,5,6,6,12,1,3,0.5,0.47,2,2
Cara klasifikasi yang memperhatikan hubungan kekerabatan disebut sebagai,047v002,Alami,Artifisial,Fisiologi,Morfologi,Filogenik,5,0,0,0,2,5,0,0.4,2,2
Sistem klasifikasi dengan memperhatikan hubungan kekerabatan disebut,047v003,Alami,Artifisial,Fisiologi,Morfologi,Filogenik,5,0,0,0,4,7,0,0.57,2,2
Sistem klasifikasi pertama yang dikembangkan oleh ilmuwan adalah,050v001,Sistem enam kingdom,Sistem lima kingdom,Sistem dua kingdom,Sistem tiga kingdom,Sistem empat kingdom,3,2,4,6,4,9,0.33,0.4,2,2
Sistem klasifikasi awal yang dikembangkan oleh ilmuwan adalah,050v002,Sistem enam kingdom,Sistem lima kingdom,Sistem dua kingdom,Sistem tiga kingdom,Sistem empat kingdom,3,0,0,0,6,12,0,0.5,2,2
Sistem klasifikasi pertama yang dikembangkan oleh ilmuwan adalah,050v003,Sistem enam kingdom,Sistem lima kingdom,Sistem dua kingdom,Sistem tiga kingdom,Sistem empat kingdom,3,0,0,0,0,0,0,0,2,3
"Sistem pengelompokan dapat disederhanakan dengan mempertimbangkan manfaatnya. Misalnya, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat dikelompokkan bersama",058v001,Tanaman obat,Tanaman pangan,Tanaman buah,Tanaman hias,Tanaman sayur,4,4,3,7,7,10,0.57,0.65,2,2
"Pengklasifikasian sederhana dapat dilakukan berdasarkan manfaatnya. Sebagai contoh, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat ditempatkan dalam satu kelompok",058v002,Tanaman obat,Tanaman pangan,Tanaman buah,Tanaman hias,Tanaman sayur,4,0,0,0,8,8,0,1,2,1
"Sistem klasifikasi bisa lebih mudah dengan memperhatikan kegunaannya. Contohnya, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat diatur dalam satu kelompok",058v003,Tanaman obat,Tanaman pangan,Tanaman buah,Tanaman hias,Tanaman sayur,4,0,0,0,5,5,0,1,2,1
